race_id,race_url,place,tsTeam,tsTeam_url,point,wind,heat
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,1,Vacaville (SJ),https://ca.milesplit.com/teams/15854-vacaville-sj,76,1+10+18+21+26  (43+65),1:03 1-5 Split | 12:16 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,2,Ponderosa (SJ),https://ca.milesplit.com/teams/14686-ponderosa-sj,99,4+6+16+32+41  (67+106),0:51 1-5 Split | 12:23 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,3,Bella Vista (SJ),https://ca.milesplit.com/teams/17945-bella-vista-sj,133,5+8+23+48+49  (63+66),0:49 1-5 Split | 12:30 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,4,Vista del Lago (SJ),https://ca.milesplit.com/teams/17857-vista-del-lago-sj,140,12+14+28+35+51  (53+71),0:39 1-5 Split | 12:34 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,5,Jesuit (SJ),https://ca.milesplit.com/teams/17167-jesuit-sj,143,17+20+25+34+47  (64+77),0:25 1-5 Split | 12:38 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,6,McClatchy (C.K.) (SJ),https://ca.milesplit.com/teams/17319-mcclatchy-ck-sj,165,22+24+31+38+50  (59+73),0:23 1-5 Split | 12:42 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,7,Davis (SJ),https://ca.milesplit.com/teams/12155-davis-sj,181,13+33+39+40+56  (68+90),0:41 1-5 Split | 12:42 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,8,Elk Grove (SJ),https://ca.milesplit.com/teams/16986-elk-grove-sj,232,19+27+37+62+87  (131),0:59 1-5 Split | 12:53 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,9,Lincoln - Stockton (SJ),https://ca.milesplit.com/teams/17246-lincoln-stockton-sj,245,2+42+55+60+86  (89+96),1:58 1-5 Split | 12:46 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,10,River City (SJ),https://ca.milesplit.com/teams/16131-river-city-sj,271,15+52+54+69+81  (84+113),1:03 1-5 Split | 12:59 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,11,Franklin Elk Grove (SJ),https://ca.milesplit.com/teams/17034-franklin-elk-grove-sj,289,7+11+80+94+97  (109+121),1:37 1-5 Split | 13:02 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,12,Whitney (SJ),https://ca.milesplit.com/teams/17902-whitney-sj,296,44+45+57+74+76  (91+95),0:29 1-5 Split | 13:03 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,13,Tokay (SJ),https://ca.milesplit.com/teams/17795-tokay-sj,343,3+9+58+130+143  (144+160),3:45 1-5 Split | 13:30 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,14,Pitman (John H.) (SJ),https://ca.milesplit.com/teams/17171-pitman-john-h-sj,373,30+46+92+100+105  (133+136),1:26 1-5 Split | 13:24 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,15,Granite Bay (SJ),https://ca.milesplit.com/teams/14788-granite-bay-sj,394,29+72+75+107+111  (128+139),1:36 1-5 Split | 13:31 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,16,Lodi (SJ),https://ca.milesplit.com/teams/17259-lodi-sj,468,70+82+85+102+129  (147+148),1:41 1-5 Split | 13:47 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,17,Johansen (Peter) (SJ),https://ca.milesplit.com/teams/17169-johansen-peter-sj,519,78+98+99+119+125  (153+156),1:23 1-5 Split | 14:03 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,18,Tracy (SJ),https://ca.milesplit.com/teams/17798-tracy-sj,521,36+101+112+132+140  (158),2:27 1-5 Split | 14:14 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,19,Sheldon (SJ),https://ca.milesplit.com/teams/17692-sheldon-sj,553,83+104+115+124+127  (151+154),1:21 1-5 Split | 14:17 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,20,Tahoe Truckee (NIAA),https://ca.milesplit.com/teams/17774-tahoe-truckee-niaa,570,61+88+135+137+149,3:02 1-5 Split | 14:34 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,21,Woodcreek (SJ),https://ca.milesplit.com/teams/14611-woodcreek-sj,574,108+110+116+117+123  (142+155),0:30 1-5 Split | 14:23 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,22,Patterson,https://ca.milesplit.com/teams/17510-patterson,580,79+114+120+122+145  (161+162),2:18 1-5 Split | 14:33 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,23,Kennedy (John F.) (SJ),https://ca.milesplit.com/teams/17192-kennedy-john-f-sj,593,93+103+118+138+141  (146+150),1:43 1-5 Split | 14:31 Avg
844753,https://ca.milesplit.com/meets/459604-tom-laythe-invitational-2022/results/844753/formatted/,24,Inderkum (SJ),https://ca.milesplit.com/teams/17152-inderkum-sj,728,126+134+152+157+159  (163+164),4:19 1-5 Split | 16:38 Avg
