race_url,race
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669611/formatted/,Day 1 Men's 400m Hurdles Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669610/formatted/,Day 1 Men's 5000 Meters Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669609/formatted/,Day 1 Men's Triple Jump Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669603/formatted/,Day 1 Mens 100m Heats
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669597/formatted/,Day 1 Mens 100m Qualifying
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669595/formatted/,Day 1 Mens Long Jump Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669600/formatted/,Day 1 Women 800m Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669605/formatted/,Day 1 Women High Jump Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669602/formatted/,Day 1 Women Pole Vault Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669598/formatted/,Day 1 Women's Hammer Throw Preli
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669613/formatted/,Day 1 Women's Marathon
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/669608/formatted/,Day 1 Women's Steeplechase Preli
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670617/formatted/,Day 2 Men's 100m Final
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670610/formatted/,Day 2 Men's 100m Semis
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670609/formatted/,Day 2 Men's 400m Hurdles Semis
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670618/formatted/,Day 2 Men's 50km Racewalk Final
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670607/formatted/,Day 2 Men's 800m Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670614/formatted/,Day 2 Men's Long Jump Final
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670608/formatted/,Day 2 Men's Pole Vault Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670578/formatted/,Day 2 Mens Discus Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670613/formatted/,Day 2 Mixed 4x400m Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670616/formatted/,Day 2 Women's 10000m Final
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670605/formatted/,Day 2 Women's 100m Prelims
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670619/formatted/,Day 2 Women's 50km Racewalk Fina
https://www.milesplit.com/meets/364726-2019-iaaf-world-championships-2019/results/670611/formatted/,Day 2 Women's 800m Semis
