race_url,race
https://www.milesplit.com/meets/399416-bouckaert-farms-cross-country-classic-2020/results/715115/formatted/,Mixed 3k - MS
https://www.milesplit.com/meets/399416-bouckaert-farms-cross-country-classic-2020/results/715102/formatted/,Mixed 5k - HS-Open
https://www.milesplit.com/meets/389725-aau-junior-olympics-games-2020/results/695161/formatted/,Friday Results
https://www.milesplit.com/meets/389725-aau-junior-olympics-games-2020/results/695174/formatted/,Saturday Results
https://www.milesplit.com/meets/389725-aau-junior-olympics-games-2020/results/695145/formatted/,Thursday Results
https://www.milesplit.com/meets/389725-aau-junior-olympics-games-2020/results/695132/formatted/,Wednesday Results
https://www.milesplit.com/meets/404399-usatf-national-junior-olympics-xc-championships-2020/results/715904/formatted/,Age Group Results
https://www.milesplit.com/meets/404399-usatf-national-junior-olympics-xc-championships-2020/results/715905/formatted/,HS Results
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715203/formatted/,11-12 Boys 3K
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715198/formatted/,11-12 Girls 3k
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715201/formatted/,13-14 Boys 4K
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715197/formatted/,13-14 Girls 4k
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715199/formatted/,15-18 Boys 5K
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715196/formatted/,15-18 Girls 5k
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715268/formatted/,6 and Under Boys 1k
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715269/formatted/,6 and Under Girls 1k
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715205/formatted/,7-8 Boys 2K
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715202/formatted/,7-8 Girls 2k
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715204/formatted/,9-10 Boys 3K
https://www.milesplit.com/meets/400997-aau-national-cross-country-championships-2020/results/715200/formatted/,9-10 Girls 3k
https://ca.milesplit.com/meets/403536-vaulter-magazine-big-red-barn-thankful-meet-2020/results/714805/formatted/,Boys Pole Vault
https://ca.milesplit.com/meets/403536-vaulter-magazine-big-red-barn-thankful-meet-2020/results/714804/formatted/,Girls Pole Vault
https://tx.milesplit.com/meets/401794-north-texas-jumps-showcase-20-ljtj-2021/results/716116/formatted/,HS Long Jump
https://tx.milesplit.com/meets/401794-north-texas-jumps-showcase-20-ljtj-2021/results/716117/formatted/,HS Triple Jump
https://az.milesplit.com/meets/392669-desert-twilight-xc-festival-2020/results/704747/formatted/,Championship Results
https://az.milesplit.com/meets/392669-desert-twilight-xc-festival-2020/results/704755/formatted/,HS Sweepstakes Results
https://az.milesplit.com/meets/392669-desert-twilight-xc-festival-2020/results/704720/formatted/,Large School Results
https://az.milesplit.com/meets/392669-desert-twilight-xc-festival-2020/results/704711/formatted/,Small School Results
https://az.milesplit.com/meets/392669-desert-twilight-xc-festival-2020/results/704725/formatted/,Unattached/Club Championships
https://az.milesplit.com/meets/392669-desert-twilight-xc-festival-2020/results/704752/formatted/,Unattached/Club Sweeps
https://va.milesplit.com/meets/389862-va-beach-club-opener-grand-opening-2021/results/715081/formatted/,Age Group Results Day 1
