date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
9/28,Stanford  Invitational,"Palo Alto, CA",,,https://ca.milesplit.com/meets/147981-40th-stanford-cross-country-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Dana Hills Invitational,"Dana Point, CA",,,https://ca.milesplit.com/meets/153361-dana-hills-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Doug Conley Invitational,"Tucson, AZ",,,https://az.milesplit.com/meets/142706-doug-conley-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Hemet Bulldog Invitational,"Hemet, CA",,,https://ca.milesplit.com/meets/153359-hemet-bulldog-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Jim White McFarland Invitational,"McFarland, CA",,,https://ca.milesplit.com/meets/153699-jim-white-mcfarland-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Lagoon Meet,"Riverside, CA",,,https://ca.milesplit.com/meets/154220-lagoon-meet-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Nike Pre-Nationals,"Portland, OR",,,https://or.milesplit.com/meets/147185-nike-pre-nationals-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Pacific Tiger Invitational,"Stockton, CA",,,https://ca.milesplit.com/meets/153709-pacific-tiger-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Roy Griak Invitational,"Falcon Heights, MN",,,https://mn.milesplit.com/meets/147401-roy-griak-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/28,Top Speed Running Super  Classic,"San Dimas, CA",,,https://ca.milesplit.com/meets/153358-top-speed-running-super-xc-classic-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/27,Golden Eagle/Clovis West Invitational,"Fresno, CA",,,https://ca.milesplit.com/meets/153103-golden-eagleclovis-west-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/27,Mt. Whitney Invitational,"Visalia, CA",,,https://ca.milesplit.com/meets/153102-mt-whitney-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
9/27,Sunny Hills Wayne Walker Invitational,"Fullerton, CA",,,https://ca.milesplit.com/meets/153100-sunny-hills-wayne-walker-invitational-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/26,Big 8 Cluster Meet #1,"Riverside, CA",,,https://ca.milesplit.com/meets/152992-big-8-cluster-meet-1-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
9/26,Citrus Belt Cluster,"Riverside, CA",,,https://ca.milesplit.com/meets/153101-citrus-belt-cluster-2013/results,https://ca.milesplit.com/results/?year=2013&month=9&season=outdoor&level=hs&page=1,2013,9,outdoor,hs,1
