date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
8/31,2 Mile Madness,"Riverside, CA",,,https://ca.milesplit.com/meets/628351-2-mile-madness-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Colton Swarm Invitational,"Colton, CA",,,https://ca.milesplit.com/meets/622431-55th-colton-swarm-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Cal High Scrimmage,"San Ramon, CA",,,https://ca.milesplit.com/meets/630606-cal-high-scrimmage-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,CCA Ravens XC Invitational,"San Diego, CA",,,https://ca.milesplit.com/meets/630608-cca-ravens-xc-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Cool Breeze Invitational,"Pomona, CA",,,https://ca.milesplit.com/meets/625615-cool-breeze-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Fastback Invitational,"El Monte, CA",,,https://ca.milesplit.com/meets/625975-fastback-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Gaucho Invitational,"Santa Barbara, CA",,,https://ca.milesplit.com/meets/630603-gaucho-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Great Cow Run,"Norwalk, CA",,,https://ca.milesplit.com/meets/625972-great-cow-run-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Hayward High Scrimmage,"Hayward, CA",,,https://ca.milesplit.com/meets/630615-hayward-high-scrimmage-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Lagoon Valley Classic,"Vacaville, CA",,,https://ca.milesplit.com/meets/624812-lagoon-valley-classic-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Mountie Xpress  Invitational,"Walnut, CA",,,https://ca.milesplit.com/meets/626772-mountie-xpress-cross-country-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/31,Oakmont Invite,"Rocklin, CA",,,https://ca.milesplit.com/meets/627669-oakmont-invite-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,,,,,,,,,,
,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,,,,,,,,,,
8/30,Bill Springhorn Classic,"Redding, CA",,,https://ca.milesplit.com/meets/630590-17th-bill-springhorn-classic-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/30,2mile,"North Hills, CA",,,https://ca.milesplit.com/meets/636242-2mile-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/30,Wolf Pack  Invitational,"Santee, CA",,,https://ca.milesplit.com/meets/630599-wolf-pack-cross-country-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/29,MVC Invitational,"Watsonville, CA",,,https://ca.milesplit.com/meets/631025-mvc-invitational-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/29,South County  Jamboree,"King City, CA",,,https://ca.milesplit.com/meets/630589-south-county-cross-country-jamboree-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
8/28,Brian Rogers/PCAL Monterey Peninsula  Jamboree,"Monterey, CA",,,https://ca.milesplit.com/meets/630937-brian-rogerspcal-monterey-peninsula-xc-jamboree-2024/results,https://ca.milesplit.com/results/?year=2024&month=8&season=outdoor&level=hs&page=1,2024,8,outdoor,hs,1
