race_url,race
https://ca.milesplit.com/meets/183186-rancho-cotate-invite-2014/results/315413/formatted/,JV Boys
https://ca.milesplit.com/meets/183186-rancho-cotate-invite-2014/results/315414/formatted/,JV Girls
https://ca.milesplit.com/meets/183186-rancho-cotate-invite-2014/results/315411/formatted/,Varsity Boys
https://ca.milesplit.com/meets/183186-rancho-cotate-invite-2014/results/315412/formatted/,Varsity Girls
https://ca.milesplit.com/meets/183362-dinuba-invitational-2014/results/315571/formatted/,Boy's Fresh/Soph Results
https://ca.milesplit.com/meets/183362-dinuba-invitational-2014/results/315574/formatted/,Boy's JV Results
https://ca.milesplit.com/meets/183362-dinuba-invitational-2014/results/315573/formatted/,Boy's Varsity Results
https://ca.milesplit.com/meets/183362-dinuba-invitational-2014/results/315575/formatted/,Girl's Fresh/Soph Results
https://ca.milesplit.com/meets/183362-dinuba-invitational-2014/results/315577/formatted/,Girl's JV Results
https://ca.milesplit.com/meets/183362-dinuba-invitational-2014/results/315576/formatted/,Girl's Varsity Results
https://ca.milesplit.com/meets/177893-oakmont-invitational-2014/results/315267/formatted/,Fresh/Soph Boys
https://ca.milesplit.com/meets/177893-oakmont-invitational-2014/results/315264/formatted/,Fresh/Soph Girls
https://ca.milesplit.com/meets/177893-oakmont-invitational-2014/results/315266/formatted/,JV Boys
https://ca.milesplit.com/meets/177893-oakmont-invitational-2014/results/315263/formatted/,JV Girls
https://ca.milesplit.com/meets/177893-oakmont-invitational-2014/results/315265/formatted/,Varsity Boys
https://ca.milesplit.com/meets/177893-oakmont-invitational-2014/results/315262/formatted/,Varsity Girls
https://ca.milesplit.com/meets/183210-ucsb-gaucho-invitational-2014/results/315275/formatted/,Boys Results
https://ca.milesplit.com/meets/183210-ucsb-gaucho-invitational-2014/results/315274/formatted/,Girls Results
https://ca.milesplit.com/meets/177850-sunrise-in-the-park-2014/results/313720/formatted/,Boys Results
https://ca.milesplit.com/meets/177850-sunrise-in-the-park-2014/results/313718/formatted/,Girls Results
https://ca.milesplit.com/meets/180912-ryan-bousquet-memorial-run-2014/results/313854/formatted/,Mens Results
https://ca.milesplit.com/meets/180912-ryan-bousquet-memorial-run-2014/results/313855/formatted/,Womens Results
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326345/formatted/,Boys Blue
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326354/formatted/,Boys Blue Frosh/Soph
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326348/formatted/,Boys Blue JV
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326346/formatted/,Boys JV Red
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326347/formatted/,Boys JV White
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326349/formatted/,Boys Red Frosh/Soph
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326342/formatted/,Boys Seeded
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326343/formatted/,Boys Varsity Red
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326344/formatted/,Boys Varsity White
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326352/formatted/,Boys White Frosh/Soph
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326924/formatted/,Girls Blue Frosh/Soph
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326920/formatted/,Girls Blue Varsity
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326921/formatted/,Girls JV
https://ca.milesplit.com/meets/177943-41st-annual-bell-jeffloyola-invitational-2014/results/326922/formatted/,Girls Red Frosh/Soph
