race_url,race
https://www.milesplit.com/meets/337215-usatf-national-junior-olympics-xc-championships-2018/results/622451/formatted/,11-12 Results
https://www.milesplit.com/meets/337215-usatf-national-junior-olympics-xc-championships-2018/results/622453/formatted/,13-14 Results
https://www.milesplit.com/meets/337215-usatf-national-junior-olympics-xc-championships-2018/results/622449/formatted/,8 & Under Results
https://www.milesplit.com/meets/337215-usatf-national-junior-olympics-xc-championships-2018/results/622450/formatted/,9-10 Results
https://www.milesplit.com/meets/337215-usatf-national-junior-olympics-xc-championships-2018/results/622454/formatted/,High School Age Results
https://www.milesplit.com/meets/335697-aau-national-championships-2018/results/621951/formatted/,Boys 15-18 5000m
https://www.milesplit.com/meets/335697-aau-national-championships-2018/results/621952/formatted/,Girls 15-18 5000m
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610936/formatted/,Freshman Boys Red
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610934/formatted/,Frosh/Soph Girls Red
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610931/formatted/,Girls Frosh/Soph White
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610939/formatted/,Invitational Boys
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610930/formatted/,JV White/Red
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610935/formatted/,Sophomore Boys Red
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610937/formatted/,Varsity Boys Red
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610940/formatted/,Varsity Boys White
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610933/formatted/,Varsity Girls Red
https://ca.milesplit.com/meets/331035-44th-annual-bell-jeffloyola-invitational-2018/results/610932/formatted/,Varsity Girls White
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602026/formatted/,Frosh Boys 2 Mile
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602025/formatted/,Frosh Girls 2 Mile
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602030/formatted/,JV Boys
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602029/formatted/,JV Girls 2 Mile
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602028/formatted/,Soph Boys 2 Mile
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602027/formatted/,Soph Girls 2 Mile
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602032/formatted/,Varsity Boys
https://ca.milesplit.com/meets/323839-el-toro-vs-trabuco-hills-2018/results/602031/formatted/,Varsity Girls
https://ca.milesplit.com/meets/331283-cross-valley-league-meet-3-cims-2018/results/611499/formatted/,High School Results
https://ca.milesplit.com/meets/331283-cross-valley-league-meet-3-cims-2018/results/611500/formatted/,Middle School Results
https://ca.milesplit.com/meets/334673-seylsyl-championship-2018/results/621084/formatted/,SEYL Results
https://ca.milesplit.com/meets/334673-seylsyl-championship-2018/results/621085/formatted/,SYL Results
https://ca.milesplit.com/meets/334674-sslswyl-championships-2018/results/621087/formatted/,SSL Results
https://ca.milesplit.com/meets/334674-sslswyl-championships-2018/results/621086/formatted/,SWYL Results
https://ca.milesplit.com/meets/324027-cif-southern-section-prelims-2018/results/621240/formatted/,Division 1 Results
https://ca.milesplit.com/meets/324027-cif-southern-section-prelims-2018/results/621127/formatted/,Division 2 Results
https://ca.milesplit.com/meets/324027-cif-southern-section-prelims-2018/results/621128/formatted/,Division 3 Results
https://ca.milesplit.com/meets/324027-cif-southern-section-prelims-2018/results/621241/formatted/,Division 4 Results
https://ca.milesplit.com/meets/324027-cif-southern-section-prelims-2018/results/621242/formatted/,Division 5 Results
https://ca.milesplit.com/meets/334722-coastal-conference-championship-2018/results/621132/formatted/,Coastal Results
https://ca.milesplit.com/meets/334722-coastal-conference-championship-2018/results/621133/formatted/,Pacific Results
https://ca.milesplit.com/meets/324033-cif-southern-section-finals-2018/results/621556/formatted/,Division 1
https://ca.milesplit.com/meets/324033-cif-southern-section-finals-2018/results/621557/formatted/,Division 2
https://ca.milesplit.com/meets/324033-cif-southern-section-finals-2018/results/621558/formatted/,Division 3
https://ca.milesplit.com/meets/324033-cif-southern-section-finals-2018/results/621559/formatted/,Division 4
https://ca.milesplit.com/meets/324033-cif-southern-section-finals-2018/results/621560/formatted/,Division 5
https://ca.milesplit.com/meets/324029-cif-los-angeles-city-section-championships-2018/results/621460/formatted/,Div. 1
https://ca.milesplit.com/meets/324029-cif-los-angeles-city-section-championships-2018/results/621461/formatted/,Div. 2
https://ca.milesplit.com/meets/324029-cif-los-angeles-city-section-championships-2018/results/621457/formatted/,Div. 3
