date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
8/31,UC San Diego Opener,"San Diego, CA",,,https://ca.milesplit.com/meets/122105-uc-san-diego-opener-2012/results,https://ca.milesplit.com/results/?year=2012&month=8&season=outdoor&level=hs&page=1,2012,8,outdoor,hs,1
8/30,Palo Verdes CC Mini Meet,"Riverside, CA",,,https://ca.milesplit.com/meets/123780-palo-verdes-cc-mini-meet-2012/results,https://ca.milesplit.com/results/?year=2012&month=8&season=outdoor&level=hs&page=1,2012,8,outdoor,hs,1
8/29,Lodi Flame Invitational,"Lodi, CA",,,https://ca.milesplit.com/meets/123108-lodi-flame-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=8&season=outdoor&level=hs&page=1,2012,8,outdoor,hs,1
8/25,Oakmont Invitational,"Riverside, CA",,,https://ca.milesplit.com/meets/123109-oakmont-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=8&season=outdoor&level=hs&page=1,2012,8,outdoor,hs,1
8/25,Run On The Green,"Riverside, CA",,,https://ca.milesplit.com/meets/123937-run-on-the-green-2012/results,https://ca.milesplit.com/results/?year=2012&month=8&season=outdoor&level=hs&page=1,2012,8,outdoor,hs,1
9/29,Stanford  Invitational,"Palo Alto, CA",,,https://ca.milesplit.com/meets/122106-39th-stanford-cross-country-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Nike Pre-Nationals,"Portland, OR",,,https://or.milesplit.com/meets/109001-nike-pre-nationals-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Palos Verdes Invitational,"Palos Verdes Estates, CA",,,https://ca.milesplit.com/meets/123189-palos-verdes-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Ram Westmoor Invitational,"Daly City, CA",,,https://ca.milesplit.com/meets/123193-ram-westmoor-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Roy Griak Invitational,"Falcon Heights, MN",,,https://mn.milesplit.com/meets/119535-roy-griak-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Staub Barnes Invitational,"La Crescenta, CA",,,https://ca.milesplit.com/meets/123191-staub-barnes-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Sunset League Preview,"Huntington Beach, CA",,,https://ca.milesplit.com/meets/125721-sunset-league-preview-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Super XC Classic,"San Dimas, CA",,,https://ca.milesplit.com/meets/125754-super-xc-classic-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/29,Yacaipa Invitational,"Yucaipa, CA",,,https://ca.milesplit.com/meets/123194-yacaipa-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/28,Desert Twilight XC Festival,"Gilbert, AZ",,,https://az.milesplit.com/meets/116609-desert-twilight-xc-festival-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/28,Dos Pueblos Invitational,"Santa Barbara, CA",,,https://ca.milesplit.com/meets/123180-dos-pueblos-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/28,Golden West Invitational,"Riverside, CA",,,https://ca.milesplit.com/meets/125741-golden-west-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
"9/28
9/29",Great American  Festival,"Cary, NC",,,https://nc.milesplit.com/meets/119572-great-american-cross-country-festival-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/28,Saints Small School Invitational,"San Diego, CA",,,https://ca.milesplit.com/meets/123181-saints-small-school-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/27,DeAnza League Cluster,"Big Bear, CA",,,https://ca.milesplit.com/meets/126627-deanza-league-cluster-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/27,Southwestern League Cluster #1,"Riverside, CA",,,https://ca.milesplit.com/meets/126629-southwestern-league-cluster-1-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/27,Suburban League Cluster #1,"Riverside, CA",,,https://ca.milesplit.com/meets/126628-suburban-league-cluster-1-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/27,Trinity League Preview Meet,"Riverside, CA",,,https://ca.milesplit.com/meets/125693-trinity-league-preview-meet-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/27,Valle Vista League,"San Dimas, CA",,,https://ca.milesplit.com/meets/126626-valle-vista-league-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/26,MIssion Valley League,"Riverside, CA",,,https://ca.milesplit.com/meets/126625-mission-valley-league-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/26,Moore League Cluster,"Long Beach-Lakewood, CA",,,https://ca.milesplit.com/meets/126624-moore-league-cluster-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/26,Orange Coast League,"Santa Ana, CA",,,https://ca.milesplit.com/meets/125596-orange-coast-league-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/26,Salinas City Championships,"Salinas, CA",,,https://ca.milesplit.com/meets/125593-salinas-city-championships-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/25,Central Park Invitational (CC),"Santa Clara, CA",,,https://ca.milesplit.com/meets/125602-central-park-invitational-cc-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/25,Sierra League Cluster,"San Dimas, CA",,,https://ca.milesplit.com/meets/123178-sierra-league-cluster-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/25,South Bay Cup,"Torrance, CA",,,https://ca.milesplit.com/meets/125598-south-bay-cup-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/22,Bell-Jeff/Loyola Invitational,"Los Angeles, CA",,,https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/22,Bob Firman Invitational,"Eagle, ID",,,https://id.milesplit.com/meets/120368-bob-firman-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/22,Brentwood Invitational,"Los Angeles, CA",,,https://ca.milesplit.com/meets/123162-brentwood-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/22,Dana Hills Invitational,"Dana Point, CA",,,https://ca.milesplit.com/meets/123166-dana-hills-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/22,Falcon Invitational,"Henderson, NV",,,https://nv.milesplit.com/meets/123167-falcon-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
9/22,Farmer Invitational,"Hayward, CA",,,https://ca.milesplit.com/meets/123169-farmer-invitational-2012/results,https://ca.milesplit.com/results/?year=2012&month=9&season=outdoor&level=hs&page=1,2012,9,outdoor,hs,1
