race_url,race
https://ca.milesplit.com/meets/122105-uc-san-diego-opener-2012/results/207463/formatted/,Men's 5K
https://ca.milesplit.com/meets/122105-uc-san-diego-opener-2012/results/207464/formatted/,Women's 5K
https://ca.milesplit.com/meets/123780-palo-verdes-cc-mini-meet-2012/results/207306/formatted/,Boys 2 Mile Run
https://ca.milesplit.com/meets/123780-palo-verdes-cc-mini-meet-2012/results/207311/formatted/,Girls 2 Mile Run
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/227391/formatted/,Complete Results
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228902/formatted/,Frosh Boys 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228900/formatted/,Frosh Girls 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228905/formatted/,JV Boys 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228906/formatted/,JV Girls 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228901/formatted/,Soph Boys 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228907/formatted/,Soph Girls 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228903/formatted/,Varsity Boys 3 Mile
https://ca.milesplit.com/meets/123266-south-coast-league-finals-2012/results/228904/formatted/,Varsity Girls 3 Mile
https://ca.milesplit.com/meets/128071-trivalley-league-finals-2012/results/227343/formatted/,JV Boys 3 Mile
https://ca.milesplit.com/meets/128071-trivalley-league-finals-2012/results/227342/formatted/,JV Girls 3 Mile
https://ca.milesplit.com/meets/128071-trivalley-league-finals-2012/results/227345/formatted/,Varsity Boys 3 Mile
https://ca.milesplit.com/meets/128071-trivalley-league-finals-2012/results/227344/formatted/,Varsity Girls 3 Mile
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214737/formatted/,Boys Open
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214721/formatted/,Frosh/Soph Boys Blue Div
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214722/formatted/,Frosh/Soph Boys Red Div
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214723/formatted/,Frosh/Soph Boys White Div
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214730/formatted/,Frosh/Soph Girls Blue Div
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214731/formatted/,Frosh/Soph Girls Red Div
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214718/formatted/,JV Boys Blue Division
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214719/formatted/,JV Boys Red Division
https://ca.milesplit.com/meets/123160-39th-annual-bell-jeffloyola-invitational-2012/results/214720/formatted/,JV Boys White Division
