race_url,error
https://ca.milesplit.com/meets/499951-metropolitan-conference-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/499951-metropolitan-conference-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/499951-metropolitan-conference-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/499942-garden-grove-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/499942-garden-grove-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/499942-garden-grove-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/486903-golden-west-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/486903-golden-west-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/486903-golden-west-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/507206-liberty-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/507206-liberty-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/507206-liberty-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/507942-marine-coliseum-metro-ocean-exposition-crosstown-etc-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/507942-marine-coliseum-metro-ocean-exposition-crosstown-etc-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/507942-marine-coliseum-metro-ocean-exposition-crosstown-etc-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/498560-marmonte-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/498560-marmonte-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/498560-marmonte-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/507205-bay-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/507205-bay-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/507205-bay-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/506512-bcl-east-xc-championships-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/506512-bcl-east-xc-championships-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/506512-bcl-east-xc-championships-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/499941-big-viii-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/499941-big-viii-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/499941-big-viii-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/504591-north-valley-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/504591-north-valley-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/504591-north-valley-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/505954-olympic-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/505954-olympic-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/505954-olympic-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/499944-pacific-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/499944-pacific-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/499944-pacific-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/498570-rio-hondo-league-xc-finals-lacy-park-san-marino-host-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/498570-rio-hondo-league-xc-finals-lacy-park-san-marino-host-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/498570-rio-hondo-league-xc-finals-lacy-park-san-marino-host-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/507210-sccal-cross-country-championships-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/507210-sccal-cross-country-championships-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/507210-sccal-cross-country-championships-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/498547-eal-srl-league-meet-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/498547-eal-srl-league-meet-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/498547-eal-srl-league-meet-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/498551-elysian-park-finals-day-2-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/498551-elysian-park-finals-day-2-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/498551-elysian-park-finals-day-2-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/499950-frontier-conference-league-finals-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/499950-frontier-conference-league-finals-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/499950-frontier-conference-league-finals-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/508246-cmac-championship-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/508246-cmac-championship-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/508246-cmac-championship-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/497343-cmc-championship-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/497343-cmc-championship-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/497343-cmc-championship-2022/results"", waiting until ""load""
"
https://ca.milesplit.com/meets/498614-esl-league-championships-2022/results,"Page.goto: net::ERR_INTERNET_DISCONNECTED at https://ca.milesplit.com/meets/498614-esl-league-championships-2022/results
Call log:
  - navigating to ""https://ca.milesplit.com/meets/498614-esl-league-championships-2022/results"", waiting until ""load""
"
