date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
8/31,Palos Verdes Mini Meet,"Palos Verdes Estates, CA",,,https://ca.milesplit.com/meets/567899-palos-verdes-mini-meet-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/31,Tahquitz @ Hamilton,"Anza, CA",,,https://ca.milesplit.com/meets/568010-tahquitz-hamilton-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/30,Brian Rogers PCAL Monterey Peninsula Jamboree,"Monterey, CA",,,https://ca.milesplit.com/meets/567740-brian-rogers-pcal-monterey-peninsula-jamboree-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/30,MVAL Opener,"Newark, CA",,,https://ca.milesplit.com/meets/567759-mval-opener-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/30,Oakland Section Kick Off Meet,"Oakland, CA",,,https://ca.milesplit.com/meets/567742-oakland-section-kick-off-meet-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/30,PCAL Regional Jamboree,"Santa Cruz, CA",,,https://ca.milesplit.com/meets/567760-pcal-regional-jamboree-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/26,Bronco Roundup,"Escondido, CA",,,https://ca.milesplit.com/meets/567433-bronco-roundup-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/26,Dennis DeWitt Invitational,"Madera, CA",,,https://ca.milesplit.com/meets/567435-dennis-dewitt-invitational-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/26,Foothill Time Trials,"Pleasanton, CA",,,https://ca.milesplit.com/meets/567163-foothill-time-trials-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
8/26,Hoka McFarland USA Invitational,"McFarland, CA",,,https://ca.milesplit.com/meets/567145-hoka-mcfarland-usa-invitational-2023/results,https://ca.milesplit.com/results/?year=2023&month=8&season=outdoor&level=hs&page=1,2023,8,outdoor,hs,1
