date,name,location,photos,videos,href_url,paginated_url,year,month,season,level,page
8/31,Highland vs Golden Valley,"Bakersfield, CA",,,https://ca.milesplit.com/meets/251171-highland-vs-golden-valley-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/31,Highlander Invitational,"Fresno, CA",,,https://ca.milesplit.com/meets/251170-highlander-invitational-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/30,PRS 1.5 Mile Time Trial,"Carlsbad, CA",,,https://ca.milesplit.com/meets/251172-prs-15-mile-time-trial-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/27,Dinuba Invitational,"Dinuba, CA",,,https://ca.milesplit.com/meets/250904-dinuba-invitational-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/27,Hoka One-One Postal Qualifer Meet,"Ventura, CA",,,https://ca.milesplit.com/meets/250903-hoka-one-one-postal-qualifer-meet-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/27,Oakmont Invitational,"Roseville, CA",,,https://ca.milesplit.com/meets/250901-oakmont-invitational-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/27,Vaquero Stampede,"Lakeside, CA",,,https://ca.milesplit.com/meets/250905-vaquero-stampede-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/26,Lodi Flame Invitational,"Lodi, CA",,,https://ca.milesplit.com/meets/250902-lodi-flame-invitational-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
8/4,Los Gatos All-Comers,"Riverside, CA",,,https://ca.milesplit.com/meets/249533-los-gatos-all-comers-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
"8/1
8/3",JCC Maccabi Games,"St. Charles, MO",,,https://mo.milesplit.com/meets/249390-jcc-maccabi-games-2016/results,https://ca.milesplit.com/results/?year=2016&month=8&season=outdoor&level=hs&page=1,2016,8,outdoor,hs,1
9/30,Desert Twilight XC Festival,"Casa Grande, AZ",,,https://az.milesplit.com/meets/228191-desert-twilight-xc-festival-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,El capitan @ Granite Hills,"La Mesa, CA",,,https://ca.milesplit.com/meets/253972-el-capitan-granite-hills-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,Golden West/Visalia Invitational,"Riverside, CA",,,https://ca.milesplit.com/meets/248258-golden-westvisalia-invitational-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,Mar Vista vs. San Ysidro,"San Diego, CA",,,https://ca.milesplit.com/meets/253969-mar-vista-vs-san-ysidro-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,NCC Valley League Cluster #1,"Oceanside, CA",,,https://ca.milesplit.com/meets/253617-ncc-valley-league-cluster-1-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,Olympian vs. Eastlake,"Chula Vista, CA",,,https://ca.milesplit.com/meets/253967-olympian-vs-eastlake-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,Palomar Cluster 1,"Escondido, CA",,,https://ca.milesplit.com/meets/253616-palomar-cluster-1-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,Palos Verdes Invitational,"Palos Verdes Estates, CA",,,https://ca.milesplit.com/meets/245918-palos-verdes-invitational-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/30,Santana @ El Cajon Valley,"La Mesa, CA",,,https://ca.milesplit.com/meets/253966-santana-el-cajon-valley-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/29,Avocado East League Cluster #1,"Oceanside, CA",,,https://ca.milesplit.com/meets/253449-avocado-east-league-cluster-1-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/29,Bravo vs. Legacy,"Los Angeles, CA",,,https://ca.milesplit.com/meets/253447-bravo-vs-legacy-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
9/29,BVAL Double Dual @ Contra Loma,"Riverside, CA",,,https://ca.milesplit.com/meets/253364-bval-double-dual-contra-loma-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,,,,,,,,,,
9/29,Century Conference Preview,"Riverside, CA",,,https://ca.milesplit.com/meets/253950-century-conference-preview-2016/results,https://ca.milesplit.com/results/?year=2016&month=9&season=outdoor&level=hs&page=1,2016,9,outdoor,hs,1
